Club ID,Club Name
11375,joao's club
11376,HG ZEROVINTEUM
11378,Okavango
11379,RRJPOKER
11380,411144
11381,madmax1818
11382,tizill157
11384,IMPÉRIO
11385,Diamond Poker Club
11386,814319
11392,Meliodas Poker
11394,AA BET CLUB
11401,Poker Z.L
11402,MORAÚJO POKER
11403,Dr.TT RAIZ ONLINE
11405,Casa do Tal
11406,bazinga
11420,Reis & Damas
11423,id578864
11426,MAFRENS POKER NIGHT
11427,1548056
11428,All in Poker Clube
11430,Poker da Pinga
11433,Máfia club
11435,garagem
11437,Maxxximus Club
11438,Garagem Poker Clube
11439,POKER GUAREÍ/SP
11441,lazzpoker
11443,357809
11445,RIO POKER SERIES
11447,Qualquer
11448,Qualquer2
11449,Roma 661200
11450,BARALHÕES
11451,Cassinopoker
11452,FISH STORE
11453,Matambre
11455,POKERFABRIL
11460,h2club
11462,VSOP LEAGUE
11467,Confraria Poker
11468,Clube do tutu
11469,Poker_de_AAAA
11470,aquário
11471,querencia club
11472,Fish 2
11473,hahaha
11475,bbbismiclub
11476,Legend's Poker Club
11477,Homem prime
11478,3059775
11479,Amigos ASMAP
11480,Poker Club TFC
11481,Happy Poker
11482,POKER LIFE
11483,FLUSH POKER
11485,MINAS VIP POKER
11486,eder clube
11487,PKFriends♥️♠️
11488,HG Acontece Poker
11489,Suplema Poker
11490,HG Banana Poker
11491,542511
11495,fishasnet
11497,FLOP POKER ♦️
11498,3021018
11501,monto clube
11503,InvestSmart
11504,LuckyClub
11509,Cash OK 👑
11521,Fulltime Poker
11522,RRunner
11523,MIDNIGHT POKER R.
11524,nanicas
11526,a game
11527,790629
11528,TEREMOK
11529,foo club
11530,Brasília Mind
11531,MANO'S POKER OFICIAL
11532,AA Poker Clube
11533,1301005
11537,storm poker
11538,Vememmimforrabraba
11539,Raul.....SB
11540,542611
11542,453332
11543,KOLOBOK
11544,EURO2024
11546,pipa poker club
11547,PIX POKER♥️♦️♣️♠️
11548,Magnata Poker Team
11549,Kardek
11550,PDQ Oficial
11551,034 POKER CLUBE
11553,VP poker
11554,VAMOBR/CARD7
11556,3038588
11558,359859
11560,Durezas Poker
11561,pqp Poker
11562,odc poker club
11566,China dos doido
11568,K no river
11570,Antinhas
11571,Boizinhos
11572,Pokerantas
11578,Bolipoker
11579,Zueira
11580,Poker Maluco
11582,All In
11584,Clube Noturno
11586,1715633
11587,Shoyo Poker Club
11588,clube Cde
11590,RP POKER
11591,poker bingo da fé
11592,cjclube
11596,2922372
11599,Poker mogi
11601,534338
11602,Poker Pira
11605,NEW BAD BEATS CLUB
11609,ROUND 6
11621,Heads Up Arena
11622,Poker F.C
11623,PANOS GAME
11624,jorginho77
11625,poker em  casa
11627,311402
11630,777poker
11631,Gasparzinho Fichas .
11632,MasterHouse
11633,XaradaX
11635,CyberPoker
11637,FoxPro
11638,298894
11639,Vogue Poker Club
11640,Cyber Poker
11641,1612552
11644,Clube do poker
11645,2568147
11648,alineclub
11650,king Poker
11651,Go pro
11653,T8nuts
11655,noahclubesuprema
11657,RACK % FREE
11658,2057927
11659,3309678
11660,nextid723105
11662,clube do chá
11663,3021462
11664,Piratas
11665,POKERVIPURUGUAY
11667,Jaguaruna
11668,KUKI Poker
11669,DRAWING DEAD
11670,the union
11671,cpth santa rosa
11672,707000
11673,SUPREMINHO
11675,LobosPoker
11679,POKERGALERIA
11680,608102
11681,matuto
11683,1953525
11687,Bug Poker Clube
11688,302382
11689,369723
11692,the unio1
11695,1007657
11700,Castelar Poker
11701,carioca
11702,3322904
11704,1087286
11705,SAN Poker club
11706,asesempire
11708,magno 357
11709,Asia Universal
11720,BuriVegasPokerClube
11721,THE BULLS
11722,Tilt Poker Clube
11723,poker paraguay
11724,Sierra
11731,1536474
11733,Baralhão
11734,poker  trembala
11735,LE PINARI
11739,PokerSudoeste
11740,CM poker clube
11744,хрюхрю
11745,111243
11746,não seu
11748,online
11749,MV_PoKer ♣️♦️♠️♥️
11751,Xtreme
11753,L&A Poker
11754,LOTUS Golden
11755,LOTUS Private
11756,bonna kibe
11758,No Fold
11759,allin club
11760,D.P.C.
11761,guerreiros1975
11763,COLOMBOPOKER
11764,Capella 👽
11766,ALL IN FLORIANÓPOLIS
11768,marcio72
11772,HU Poker Club
11773,POKERSBARS
11774,pokerciti
11775,Poker Bombinhas
11776,Osso3.0
11778,Mandrak_22 01
11779,3-Bet News Suprema
11781,304370
11782,alexdfhcg
11783,289556
11786,♦️Friends Poker ♣️
11790,Coreau Poker
11791,1045664
11792,070000
11794,1832202
11795,Tudo no Pano
11798,DVS POKER
11799,Moleza Club
11800,Poker Serra SC
11804,AKS Poker Club
11805,kovak.treino
11807,615121
11809,77poker
11820,1700532
11822,MARAVAPOKER
11825,MACABUCO
11830,Pixcuiaba@gmail.com
11831,h2club  online
11832,clube king online 2
11833,ATW-POKER
11835,Runner-Runner
11836,coringa
11837,alisson9978
11839,suprema
11842,umbrellapokerclub
11847,PNC Poker
11850,Ben-hur Poker Clube
11852,suprema1
11854,GRAND_POKER
11856,Edson Marinho
11857,2919086
11860,Joker Club
11862,826799
11864,Pokermaislive
11866,clube suprema
11867,366283
11869,170341
11870,Mendes
11871,GUARAPOKER
11873,vanessa
11874,Poker Caxu
11875,Emporium do Poker
11876,832305
11877,OMEGA PRO
11879,1083808
11881,H2 Campinas
11882,Lucasg
11884,Tucunaré Poker Club
11886,Jack's
11887,SupremaPortugal
11891,PokerTube
11892,572324
11893,boas vindas
11895,parana poker
11897,playlist
11899,sQueeze
11900,Clb170341
11904,bar do oreia
11906,hi jack club
11907,BrocaNoRiver
11920,poker net
11921,Staes 2
11922,Limp police
11923,Betting House
11924,ARGEN POKER
11925,AMIGOS DO AFFIF
11928,641951
11930,amigos do bolinha
11931,videira Poker
11932,sQueeze!
11933,BocaBrazil
11936,DM_Stream
11937,Poker Star
11938,Los parceros
11940,amigos Tc
11941,Poker De Quarta
11943,311739
11944,Jungle CardHouse
11946,Canela Poker
11948,K10 Poker Clube
11950,Junior Sousa
11954,321364
11956,Euripedes Mendonça
11957,Clube Master Poker
11958,clube tonhao
11961,Garanhuns Hold’em
11962,Runner_Runner
11964,cedropoker club
11965,1004267
11967,377009
11968,Glpoker
11970,Kings on line
11971,jsilva20
11972,DealerGO!
11973,River Poker Bagé-RS
11975,ID: 10629
11976,supremo total
11978,2797227
11980,670454
11981,prongs
11982,Alto vale
11984,200200
11985,772824
11986,ALL IN POKER
11990,BPD REAL
11991,Poker dos amigos2021
11992,Viva Poker
11993,Nut's Poker
11994,bruxão club
11995,267856
11996,aBused Poker
11998,Sete Sete
12001,Se7e 7
12002,c4clube
12003,poker venado 2
12004,1320183
12005,raposa
12006,STEIDER
12007,Norteños PokerMX
12008,teste1
12009,Fronteira MG
12010,h2clube
12011,testandk
12013,h2 clube h2
12014,Round6
12015,P13 Ribeirão
12016,Carioca Clube
12017,Mega Poker
12030,Balanuts
12031,JokerAcademy
12034,Pokerdosdonky
12035,3027941
12036,TOROS POKER CLUB
12037,MANDALA POKER CLUBE
12038,HomeGameVIp
12039,SamClub
12040,GreenPoker
12043,POKER_ATM
12044,king’S of Poker
12046,Dubai PokerTeam
12047,Galaxy Poker 👽
12048,poker mmssll
12049,testeeeeeeee
12051,Club_barbaros
12052,caos e guerra
12053,664491
12054,Omaha VIP
12057,porcentagem 5%
12058,274613
12059,Geovanio
12060,Vegas Club
12061,Zion Poker
12062,3155948
12064,Castor Poker
12065,Poker na Boa
12068,na boa poker
12070,SUPREMACIA
12071,KVAS_TEST
12074,159team
12077,NostroPoker
12078,pokerzin do nau
12079,Ganso Dourado
12081,Aces & Kings
12082,Monkley
12083,STARPOKER
12084,Clube Teste.
12085,donkley
12086,556057
12087,Pataquada $AJx$$A
12090,Londres27
12091,fichamento
12092,Gaspar poker
12093,supremo clube
12094,292860
12095,Eagle Poker Club
12096,sbpb2021
12099,academia de poker
12200,XTREME POKER
12201,PDQuintas
12203,lucas gg
12204,Poker Siq
12205,KCB POKER
12206,Itacaré
12207,887173
12208,kpmboys
12210,gorilaspoker
12211,BULLETS poker
12213,VEGAS_CLUB
12214,ak47pro
12215,D juk Poker club
12216,welsey
12217,cuiabapoker
12218,silasss
12219,badbeatpoker
12230,House of Cards
12231,2303635
12236,705059
12238,LIGA 2K POKER
12239,Showdown ♦️
12240,HK Infinity
12243,334210
12245,ELITE ONLINE
12246,ELITE CLUB
12249,King Clube
12250,falidos
12254,PetecaClub
12255,Blefeseco House
12256,Flamengo
12257,Clube das estelazx
12259,STE RubeNx
12261,Alex998
12264,313423
12265,NoLimitPoker
12266,Hatters
12267,COMARCA
12268,VerenDeBuff
12270,goldencity
12271,Club da Forra
12273,Master Donkey
12274,290330
12276,HG Dom Poker
12277,Millions Poker 2
12279,PokerInve$t
12280,Ases e Reis
12281,Ganso Dourado 1
12283,Ganso Dourado 2
12284,Ganso Dourado 3
12288,EMIRATES POKER
12289,just_loove
12290,PB POKER
12291,1234324242
12293,Santa luzia Poker
12296,carioca 1
12297,THE BANK CLUB
12298,tubarão
12299,Slavik&Dimon
12345,Cream Poker 3.0
12402,#pokersempre
12405,386238
12406,Check/Raise
12409,G33 Poker
12410,Barra Poker
12411,pintas
12412,REALPOKER
12413,Clube Estranho
12415,🃏ChipTown🃏
12416,LA LIGA
12417,Eu2112
12418,La Boca Poker Club
12419,Morada Nova CE
12432,3049926
12433,JackTorres Poker
12435,Poker Solidário
12436,testclub
12438,cpx 1club
12441,1004319
12442,588187
12443,club_1505
12445,Mineirinho
12448,teste png
12450,641971
12451,SantiTorres
12452,bezerros
12453,Lopata
12455,RENEGADOS
12457,662561
12458,3109214
12462,1888782
12465,Royal Cards
12469,THERIVER
12471,Saquarema
12472,la vida e
12473,3307664
12475,Buker's
12476,temporário
12477,625453
12478,SUPREMAPX
12479,2101000
12480,Poker4fun
12481,2832828old
12483,Dutx total
12486,H10POKER
12487,poker_Barrense
12488,agapok
12489,pezados.com
12491,2931209
12492,extrapoker clube
12493,1289000
12495,CASH GAME MOSSORÓ
12497,xtreme1
12498,300300
12499,Fichas Poker Clube
12501,Recreativo 9000!
12502,116158
12503,1116150
12504,X treme 3
12506,top poker
12507,POKER4FUN.
12509,SMJ Poker
12510,1696896
12516,pokerjaragua
12531,2651488
12532,Back Door
12533,infinaty
12537,Atibaia-Sp
12538,SR POKER CLUBE
12539,ipin #1
12540,1064722
12541,2751134
12542,Id 2168895
12546,3095380
12547,296167
12549,pokercity
12550,Kamikaze Poker Club
12551,chaueviana
12552,Billions
12553,341849
12554,Alex l
12558,CanutoPoker
12559,Mizeravao
12560,CherryHills
12561,544570
12562,OUTS POKER
12563,POKER BDP
12564,Adimaxers
12566,poker para amigos
12568,pivolino12
12569,PokerFriends
12571,HijackMS
12572,POKER BROTHER'S
12573,PRIME POKER
12574,NEW HUNNU
12576,h2 curitiba
12577,LUCCAS POKER
12580,你妈妈
12581,PIX POKER
12583,PheniX
12588,2526334
12589,Santo Antônio Poker
12591,Vasco  da gama
12592,cleusinhapoker
12593,Tama Club
12594,nuts tcg club
12597,TheGois
12598,CHIBABA'S
12599,amigos club
12600,Katchanga Game
12601,1018685
12602,ccrf0702
12603,soproWST
12604,SR POKER
12607,pp poker
12608,esporte
12609,Poker Tube
12610,PokerBonus
12611,Cachoeiras Poker
12612,xerebedeu
12613,teste012
12614,Clube do Tonhão
12615,FORMIGA POKER ONLINE
12617,abstpoker
12618,CGP OFICIAL
12630,picuira
12631,1625712
12633,oiiiiii
12634,Erechim Poker
12637,clube oiiii2
12639,topzera291
12640,1234567
12643,Poker Vêneto
12644,Linhares Poker
12645,Poker dos Guris
12647,kkkdlsl
12648,poker club
12649,Bulawm’s Club
12650,Gordola
12651,HG do Waltinho
12653,TmZpoker
12654,clube a
12657,Moreiras
12658,k9 POKER GUAPI
12669,F♠️RR♦️ F♦️CIL
12670,Rodrigo
12671,PP_Poker_☘🍀
12672,124484
12673,Maribondo suprema
12674,brabissimo
12677,MTT Cannibal
12680,Guilherminho
12681,porersuprmo
12682,Ginger
12685,Clube Teste 1
12688,Clube teste 3
12690,Clube teste 5
12700,reaenha 2
12701,vallenatos Colombia
12704,7Q POKER CLUB
12705,Clube 4
12706,clube teste 6
12708,635515
12710,2791054
12712,mundo 2.0
12713,liga on-line
12715,MRTS CLUBE
12718,303052
12719,769152
12731,BRAZUCAS POKER
12733,Manaus
12740,7 outs
12741,EUGELIGA
12742,PokerstarBR
12744,Seja o Rei
12745,cica e maria
12746,King’$
12748,clube do ze
12749,bigmax
12752,280412
12753,cica maria
12755,678907
12758,Four bet
12759,PLOPOKER
12760,Daniels club
12761,GL poker
12762,Peakyblinderrs
12763,377809
12764,cuiaba
12765,infinity
12768,Cerro Largo Melo
12770,PokerMind
12771,271869!
12772,Haus Poker Club
12773,Poker broca
12774,sabesp
12775,2994419
12776,Mont72
12778,973858
12780,1776389
12781,Chapada Poker
12782,Barra/Poker
12783,Cpyork
12784,Manga poker club
12785,174301
12786,poker bet club
12791,Rerijr
12792,Poker_Trance
12794,1637654
12795,802765
12796,torneio
12799,2452510
12800,POKERCITO
12804,Texas Bahia
12805,confraria on LINE
12807,Magnatas
12809,Ultimat Poker
12810,goliras
12813,podem100400
12814,Suprema EU ADM
12816,729429
12817,blackmamba
12819,JAGUARIBE POKER
12830,OsMesmos
12831,Douuugggg
12832,zempoker39
12833,jhoker
12834,OMEGA POKER
12835,343122288948
12837,1707525
12841,impala
12843,Cotton Star
12844,Poker Full House
12845,10801603
12847,K7 ONLINE
12849,328647
12850,benksroll
12851,Niponika
12853,RB Poker Clube
12854,295068
12855,POKER RIVER
12856,Clube Donkey
12857,356136
12861,Bulba Joe
12862,stars poder 1
12863,testez
12867,king
12869,354983
12870,Mega Home Game
12871,00000
12872,sntspoker
12874,Gomes
12875,rafa
12879,lacoste2 natal
12881,PROPOKER
12882,emf
12883,10629
12884,mens
12886,porão
12887,Texas 20
12891,11487
12892,storm
12895,Resenha do Poker
12896,kalebPoker
12897,10630
12899,bilions
12900,10402
12901,Mosaic Poker Clube
12902,pokerzera
12903,extreme
12904,Milionariosdopoker
12905,floripa poker
12906,DS Poker Club
12907,ufhf
12908,Citadel
12910,Direct Poker
12911,Sette7 Poker
12912,Hemp_Poker
12913,Poker House
12914,batatinha frita
12915,Real Brazil
12916,WPD
12917,Rio PH
12918,LA FURIA XTREMS
12930,INSOMNIO 🤑
12933,OPEN BRAZILIAN ARCHI
12936,Brazilian Fishing
12937,Palmeiras
12938,id801785
12941,LBI
12942,MTSPK
12943,288603
12947,44 Magnum - P&B
12948,Gilberto Reis
12950,BIG BOY
12952,status
12955,Squeeze Poker Clube
12957,BACARNERÃO
12961,One Out Home Game
12963,a_game
12964,10258
12966,173887
12967,jr1527
12968,Big Nigger Society
12970,N2 Poker Club
12975,test
12976,HG Bet Inícial
12977,hello world
12978,BFC.BRA
12980,Chippix
12981,Chippix Clube
12984,andyclubs
12985,Z-Meta
12986,VIP_Poker_RND
12988,STARVEGAS
12990,equipe Stars
12991,Clube Cantão
12993,Jokerpoker
12995,welisson
12996,POKER ON
12997,🍻084 POKER CLUB🍻
12998,tested
13002,theunion2
13003,Diamond Five
13004,3329702
13005,clube
13006,ODDS POKER
13007,BET POKER
13009,ALL IN POKER CLUB
13010,41144
13011,faiscameuamor
13013,JSPOKERCLUB 😎🍀
13014,Sierra Poker
13015,abc123
13016,FLORIDA CLUB
13017,Comando 72
13021,badbeat
13022,PH Poker Club
13023,coringa poker
13025,ranks21
13026,lz poker
13027,VemDeTeste
13028,Siam Club
13029,Fúria
13041,Equipe Stars 🌟
13042,Cadu
13043,tornio
13044,MinasVipBh
13045,Royal Five Club
13046,Resende
13047,pokersniper
13049,DRAGON FORCE
13050,mpk
13051,Lecori
13052,Zeus pkr
13054,572124
13055,UnikaPoker
13056,Bruna
13057,kkkkruz
13058,union1
13059,JogaRJ
13061,Poker_HS82
13062,Barbas
13063,apenz ppoker
13064,2160479
13066,Itmgaming.com
13067,ParadiseSP
13069,Lenin
13070,Alpha Draconis
13071,flu
13073,Gonzo is back
13074,hanbit
13075,Atlantis Club
13076,886666
13077,msunion
13078,Piquerobi Poker
13079,A2 Poker
13080,886462
13081,288463
13082,3340904
13084,KKelisouzAA
13085,10425
13086,aaa
13087,call
13088,Jackson
13089,10519
13091,King Brazil
13093,srccas
13096,Akvilon54
13097,Friendly♦️club
13099,FRIAGEM
13200,MINA
13201,DlyaSvoih
13205,Brunouu
13206,Royale poker ctba
13207,10001
13208,778992
13209,Home Game Mogi
13210,SograPK9
13215,vs loko
13217,union
13218,cgp
13220,Clube Meia Noite
13221,Clube Véi da Lancha
13223,joao
13224,568800
13225,MK DOBERMAN
13226,romperse
13228,Cassino Royale
13240,Os bravos
13241,Vini
13243,Oia
13244,Leonardo
13245,poker do Júnior
13246,bala bala bala
13247,Precisa
13249,Play Money
13251,starks
13254,CCP by b2X Group
13255,PitangueiraSuprema
13256,723701
13257,360958
13259,é eu
13260,SUPREMOS DEL POKER
13261,CK CLUB
13264,PPKasPoker
13266,test-club
13267,Foxes
13268,3031772
13269,The Venetian
13273,clubinho
13275,ACONCAGUA
13277,metralha
13280,kanas club
13281,Cash Apodi
13286,LABIGA POKER
13287,starspokerclube
13291,380879
13293,leandro
13294,lucaspoke
13295,MegaMaster
13298,RESENHA LUXO
13299,Poker Clube
13305,Gold’s
13306,3160009
13307,tupac
13308,38398
13309,clubecarioca
13310,PRO BET
13312,T-REX POKER
13314,Rafa H10 1
13315,Rayane
13319,357735
13320,289381
13321,Home da Santinha
13325,panda
13326,AAUUUUUUUUUU
13327,211109
13329,MARAVILLA PÓKER
13341,🐯 TigerChang
13344,iniciar
13346,tigher
13347,poker da treta
13349,samio
13350,Home Game SPA
13351,confraria pp
13352,andrew
13354,todos os cantos
13355,Poker lama
13356,sertão poker
13357,Clube High: 1063077
13358,gauchao
13359,962181
13360,6015353
13361,3110355
13362,Poker
13365,560959
13366,PTC
13368,Clube Teste1
13369,Teste1234
13370,pokerlondrina
13372,sui
13374,sui♠️♠️
13376,2655335
13378,BBD Clube
13379,Sem Nome
13380,310567
13382,maldito coys
13385,Janadine Gapo
13390,864593
13391,Suited Poker
13392,boca na questão
13395,3021969
13397,pastel
13398,292968
13399,Viciados do Poker
13400,Cana Clube
13401,1673302
13402,VIP POKER
13403,VTF POKER
13405,Cana Club
13406,2300182
13408,12581
13409,mikesp
13410,66431
13411,1789665
13413,Suprema FN10
13415,Pokers Blinders
13416,1038217
13418,mfc
13419,Guess who?
13421,343234
13422,glpk
13423,ID 260665
13427,1592563
13428,BARAIKEIMADO ROO
13429,boleta
13442,Poker Fé
13446,😁😂😂😂😂😂
13447,Poker Proibido
13449,306059
13460,305069
13462,kkkk
13465,Raipoker
13466,pokerdo Rai
13467,king1
13468,ospeidafedendo
13469,Casa8
13470,369480
13471,Fichka999
13475,PokerPlayerCenter
13477,H2 Club 4 - 10524
13478,poker_vvvyj3/369787
13479,Padeiro de Acougue
13480,massacre
13481,believe
13482,correria777
13483,BeriloPoker
13485,JK KEVIN99
13486,836282
13487,cara de cobra
13489,2879563
13493,fichasnetgold
13495,124578
13496,Crypto Poker
13497,11430
13498,master liga
13499,1297701
13502,dedsamcz
13506,star
13507,556385
13509,CORRIDA-FN
13510,Yeah
13511,Wilker poker
13512,Agasi
13513,1246604
13514,Venâncio_Poker
13520,562662
13556,Calypso
